name,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Spillways [Feat. Joe Elliott],199809,62,0.578,0.835,8,-5.307,1,0.0313,0.000562,2.82e-05,0.0599,0.926,128.095,4,0
State Of Unrest,187894,62,0.447,0.982,7,-3.82,1,0.077,6.9e-06,0.0198,0.0517,0.383,94.941,4,0
Balls to the Wall,342600,62,0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,4,0
Becoming,253346,62,0.432,0.941,7,-6.581,1,0.0591,1.77e-06,0.0439,0.32,0.393,120.025,4,0
If Darkness Had a Son,396293,61,0.47,0.945,9,-4.378,1,0.045,2.3e-05,0.00544,0.0399,0.379,123.398,4,0
Put Your Back Into The Oar,277893,61,0.477,0.934,4,-8.199,0,0.0554,0.000392,0.254,0.343,0.328,139.947,4,0
Madhouse,259760,61,0.329,0.885,9,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,4,0
You Only Live Once,192560,61,0.613,0.953,6,-4.936,1,0.153,0.00018,0.0614,0.116,0.213,119.976,4,0
Kings of Metal,223866,61,0.575,0.881,9,-13.012,1,0.0357,0.000117,2.69e-05,0.147,0.699,132.127,4,0
In Waves,302466,61,0.477,0.94,9,-3.435,1,0.103,0.000211,0.0518,0.346,0.338,76.517,4,0
We’ll Be Back,269466,60,0.405,0.96,2,-3.916,1,0.074,0.0001,0.0576,0.182,0.417,174.952,4,0
Choke,227440,60,0.503,0.981,1,-5.701,1,0.0936,0.000682,9.06e-05,0.194,0.34,124.91,4,0
Davidian,296626,60,0.278,0.937,7,-6.952,1,0.168,0.000535,0.118,0.227,0.29,154.244,3,0
Highway Star,368506,60,0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,4,0
From Hell With Love,235295,60,0.502,0.9,4,-5.655,0,0.0482,0.000104,0.00212,0.161,0.552,120.066,4,0
Unstoppable,238109,59,0.529,0.988,1,-1.914,1,0.0768,7.15e-06,0.0278,0.336,0.336,121.0,4,0
Let It Go,283186,59,0.409,0.915,2,-7.205,1,0.0667,0.00444,0.0022,0.342,0.409,138.143,4,0
Wild Eyes,258586,59,0.299,0.99,6,-3.498,1,0.156,0.000732,0.000405,0.165,0.197,110.313,4,0
