Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,183.38,0.006811680479247961,180.7435714285714,172.90760000000003
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,182.79,-0.003237806988194647,181.04714285714286,173.2714
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,180.96,-0.009987729461122252,181.2407142857143,173.53100000000003
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,182.94,0.010921159530518088,181.50214285714287,173.88099999999997
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,180.75,-0.011965827934900863,181.5257142857143,174.14199999999997
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,181.24,0.0026966322108721297,181.5335714285714,174.44940000000003
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,180.81,-0.0023472192158272565,181.49214285714285,174.73080000000002
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,182.49,0.009312735134916261,181.57785714285714,174.9646
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,184.34,0.010101144387777428,181.8814285714286,175.2366
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,184.35,4.7927523651125625e-05,182.1914285714286,175.5704
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,184.14,-0.0011058394281419082,182.47857142857143,175.8798
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,185.44,0.007026954017083309,182.7392857142857,176.21
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,186.02,0.003154262640399086,182.98499999999999,176.6162
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,186.2,0.0009527446839472375,183.275,177.0706
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,185.2,-0.005378231997501537,183.405,177.5048
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,185.2,0.0,183.57714285714286,177.9418
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,184.88,-0.0017228196567873333,183.85714285714286,178.41479999999999
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,185.15,0.0014857005142714375,184.01500000000001,178.8268
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,185.53,0.0020582370233614977,184.35642857142855,179.19080000000002
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,183.85,-0.00907547289916577,184.54285714285714,179.4666
